County,Lignocellulose (dry tons),Lignocellulose (metric tonnes),Kilogram,Kilogram/hr,Annual Ethanol (kg/yr),Price ($/kg),GWP (kg CO2e/kg)
Atlantic,118397,107407.98244499999,107407982.445,12772.067927725455,202.9332104412956,1.91850205264705,0.7741690936614991
Bergen,93737,85036.800345,85036800.345,10111.872187143264,161.98331991841596,2.0209525073374683,0.7819745721915522
Burlington,214810,194872.40984999997,194872409.85,23172.61342394406,367.35231868906646,1.6922640257544475,0.7595963207208499
Camden,73270,66469.44494999999,66469444.949999996,7903.996022402967,125.97315780041461,2.1794885443579997,0.7892221069118095
Cape May,90167,81798.149895,81798149.895,9726.758691852168,154.0326223839274,2.0646980058358566,0.7724949431888527
Cumberland,128487,116561.47909499999,116561479.095,13860.525957833903,218.40327598774923,1.8958206270611622,0.7691540958717603
Essex,40659,36885.23491499999,36885234.915,4386.086724101027,70.35348811359486,2.6504020065720915,0.8184338432165758
Gloucester,81807,74214.08329499999,74214083.295,8824.924288313356,138.68847704971216,2.138166636595364,0.7825850140286211
Hudson,4129,3745.7668649999996,3745766.8649999998,445.415580408105,7.920334739709311,8.903892400693366,1.2818350997592
Hunterdon,134938,122413.72952999998,122413729.52999999,14556.4271225742,231.14185312226476,1.860484844275767,0.767024683654933
Mercer,119709,108598.209165,108598209.16499999,12913.59983411815,205.85315879949877,1.9077264744542513,0.7802881297324143
Middlesex,73388,66576.49278,66576492.779999994,7916.725263984017,128.26821108669697,2.144049755796389,0.7871451500473681
Monmouth,125283,113654.85835499999,113654858.35499999,13514.894686429792,212.4058086667389,1.9119315831826722,0.7699770284755216
Morris,113251,102739.60843499999,102739608.43499999,12216.943544877282,194.63684353980702,1.9348727119066909,0.7808369939776172
Ocean,158073,143401.45450499997,143401454.505,17052.113596960615,268.599428766957,1.8104378129254768,0.7642363555580223
Passaic,57969,52588.60726499999,52588607.26499999,6253.401739083903,99.87751453606788,2.3411773373569043,0.7988917864393292
Salem,118525,107524.10212499999,107524102.125,12785.875918593036,203.15149924615073,1.9177566662038412,0.7699485169542359
Somerset,50999,46265.527814999994,46265527.815,5501.513486372716,87.98982423453434,2.443516252173219,0.8053242719204049
Sussex,151081,137058.416985,137058416.98499998,16297.852095819062,258.67161803647053,1.8148560679312822,0.7654507083868931
Union,36023,32679.525254999997,32679525.255,3885.9785548658674,62.445546448486645,2.7759675773593626,0.8269090468737655
Warren,139757,126785.45404499999,126785454.04499999,15076.276403752852,239.360036344696,1.8459812895759504,0.7670519253001274
New Jersey,2124461,1927279.1522849998,1927279152.2849998,229176.0788010131,3623.9546775373633,1.3027768190313802,0.74735618856224
